Retorno_Anual;Volatilidade;Sharpe;Pareto_Eficiente;Peso_AAPL;Peso_AMZN;Peso_BRK_B;Peso_GOOGL;Peso_JNJ;Peso_JPM;Peso_MSFT;Peso_XOM
0,204948;0,245983;0,833178;0;0,0387333798628088;0,052352252382677086;0,12048683356914446;0,09815367535838733;0,05108636223073592;0,4997376169951051;0,10802394830214512;0,03142593129899603
0,190654;0,263568;0,723358;0;0,028747807364848697;0,04442697217318551;0,07560532661210125;0,046911357660156076;0,05530108777468838;0,08987946917201804;0,050992167620674406;0,6081358116223277
0,246158;0,251498;0,978765;0;0,007262954184860955;0,06455818539704565;0,04587823710078956;0,3507170813969596;0,010319007765486974;0,04405045947809804;0,30299114700461777;0,17422292767214143
0,216503;0,210461;1,028711;0;0,21423055065966445;0,037617605206612816;0,02363429608921365;0,1393039150912473;0,33425903017640224;0,10261527709527389;0,1069129890165017;0,04142633666508409
0,237949;0,22451;1,059861;0;0,31416259257930623;0,04433207433126185;0,08372562752240165;0,11863345938261313;0,15167526600868034;0,05943240108173387;0,026114661886408402;0,20192391720759453
0,211675;0,228668;0,925688;0;0,1000686478073259;0,2557675592758101;0,04926538391881633;0,19278990397062673;0,22347363741218348;0,015636203738819087;0,12058411408416536;0,04241454979225311
0,215848;0,25904;0,833262;0;0,0062429345061036715;0,43873541214212153;0,037104466693103265;0,15829165377171747;0,028022994455459277;0,1090965800486857;0,13616948714829785;0,08633647123451123
0,196713;0,225518;0,872274;0;0,05892833616797244;0,04903401908564751;0,03963713186882507;0,2450561830360876;0,16403932038222444;0,3097829384559511;0,012262115955709469;0,12125995504758232
0,248355;0,236904;1,048337;0;0,315122890148088;0,02261585586576149;0,00778274071838119;0,1528483359209387;0,09663935831575009;0,20857299868344686;0,017028780536060602;0,17938903981157314
0,198733;0,224804;0,884028;0;0,03388864645792898;0,026895915702864797;0,02700569612491196;0,25360123873519574;0,16467473368942026;0,11142359142130505;0,06688964599489347;0,3156205318734799
0,223952;0,2334;0,959519;0;0,07908500589721301;0,26917775528509236;0,09177544104755198;0,075086707445275;0,09858171623163475;0,056919000647005405;0,21850221969812308;0,11087215374810448
0,174062;0,210807;0,825692;0;0,02612532008785946;0,2272339127756032;0,047885258100152484;0,07754099310337956;0,2342689914100312;0,09677263163714846;0,012290826607772146;0,2778820662780535
0,24206;0,231622;1,045066;0;0,11418413803601739;0,04712922136521486;0,01733162012590474;0,18258810845421095;0,11183806534432546;0,0881060640712369;0,25924060126246173;0,17958218134062806
0,229751;0,242566;0,947169;0;0,024941846406328464;0,05664335220189046;0,04331613208117582;0,20657609727923826;0,005171731978188993;0,12793242779106662;0,21795528235646602;0,31746312990564546
0,248795;0,266152;0,934783;0;0,06409012003832644;0,2635719500720172;0,017947529622265198;0,2868300990560391;0,02087680271524591;0,07750593418300228;0,24431426433424303;0,024863299978860928
0,184225;0,210875;0,873622;0;0,0399368805961752;0,1964755612453252;0,1952567289665674;0,1571819413967246;0,18159217339063807;0,1200084962771116;0,04449058562111784;0,06505763250634022
0,188675;0,232889;0,81015;0;0,02332748971845463;0,2783073046452609;0,10192430796010749;0,059627392009596;0,07215965075564854;0,3425561570585899;0,019377704699867156;0,10271999315247547
0,200444;0,212367;0,94386;0;0,06410000378685105;0,08595326552603579;0,0016617198171770082;0,1870001449017476;0,24458104264552644;0,07571274509922034;0,10845903820023105;0,23253204002321073
0,239689;0,233304;1,027367;0;0,11819754985383933;0,015925575716153516;0,08262512258267043;0,08979538216176547;0,053101880022896016;0,12830968204759435;0,26207473289818917;0,24997007471689178
0,209531;0,228042;0,918825;0;0,04922964894027445;0,009871050831136383;0,344083833665113;0,1499579841738907;0,010936134993544145;0,20832330238570265;0,16751101924802275;0,06008702576231591
